Giorno,Indice
20210414,-1.809963162
20210415,-0.584249148
20210416,-1.416588992
20210417,-0.666386432
20210418,-1.85700044
20210419,-2.384608935
20210420,-2.117035381
20210421,-3.213126086
20210422,-1.724506676
20210423,-1.340214979
20210424,-1.808036253
20210425,-0.314173071
20210426,-1.402087415
20210427,-0.665307245
20210428,-1.18581091
20210429,-0.609460499
20210430,-1.541607623
20210501,-0.750348166
20210502,3.323342568
20210503,-1.186514317
20210504,-1.539983364
20210505,-1.318925679
20210506,-0.679417736
20210507,0.193703512
20210508,-1.033449748
20210509,-1.314386598
20210510,-1.046336998
20210511,0.176645912
20210512,1.023368358
20210513,-0.107931473
20210514,-1.250957756
20210515,-1.573009162
20210516,-0.357046868
20210517,0.098623593
20210518,-1.020615823
20210519,-0.482408022
20210520,-1.467855334
20210521,-0.93007686
20210522,-0.96543897
20210523,-2.489713837
20210524,-0.541571488
20210525,0.655646638
20210526,-0.627342926
20210527,-0.501961622
20210528,-0.645720606
20210529,-1.655152592
20210530,-2.594601348
20210531,-0.684231792
20210601,-1.091336382
20210602,-1.382231477
20210603,-1.905854761
20210604,-1.477224176
20210605,-1.808609959
20210606,-1.667355729
20210607,-0.602110592
20210608,-1.349598035
20210609,-0.03716089
20210610,-0.340942591
20210611,0.319644639
20210612,-1.713114666
20210613,-0.226906541
20210614,0.268925676
20210615,-0.606275375
20210616,-0.793262123
20210617,0.7511819
20210618,-1.174176613
20210619,-0.765309402
20210620,-0.923918567
20210621,0.090082323
20210622,-2.160771036
20210623,0.430239054
20210624,0.029818789
20210625,-0.913197234
20210626,-0.354532396
20210627,-1.640511387
20210628,-1.763540228
20210629,-2.47283303
20210630,-2.017266187
20210701,-1.288101347
20210702,0.377903616
20210703,-2.308145883
20210704,-1.117547306
20210705,-0.034398343
20210706,-0.746974904
20210707,-0.236744893
20210708,0.745051086
20210709,-1.001186097
20210710,-0.29731824
20210711,0.667812234
20210712,-2.15340362
20210713,0.183439914
20210714,-0.536657198
20210715,-1.274473116
20210716,-2.304275851
20210717,-1.942373224
20210718,-3.131933804
20210719,-1.652845671
20210720,-1.990274467
20210721,-3.37606736
20210722,-1.433809314
20210723,-1.055950959
20210724,-0.872949569
20210725,-1.166364352
20210726,-1.551242306
20210727,-2.400498175
20210728,-1.550425013
20210729,-2.917051696
20210730,-1.466716466
20210731,-0.902557731
20210801,-0.185495931
20210802,0.968797006
20210803,-1.70657053
20210804,0.815711584
20210805,-0.318687629
20210806,1.942572416
20210807,1.180171837
20210808,-2.149327889
20210809,-0.937070007
20210810,-0.211741045
20210811,-1.747211996
20210812,-0.449558344
20210813,-1.760274642
20210814,-3.853999349
20210815,-0.833233612
20210816,-3.936413877
20210817,-1.765275744
20210818,-1.149482976
20210819,-0.063363808
20210820,-0.819167274
20210821,-1.253014998
20210822,0.591125768
20210823,-1.524386254
20210824,-2.061304569
20210825,-1.168665443
20210826,0.027351889
20210827,0.003621876
20210828,-1.969383093
20210829,-1.621897628
20210830,-0.72917719
20210831,-1.253378416
20210901,-2.611147725
20210902,-1.293010335
20210903,-1.664987396
20210904,-1.237932188
20210905,-1.964678099
20210906,-0.102428234
20210907,-1.454490031
20210908,-2.560812151
20210909,-1.687566008
20210910,-2.495964871
20210911,-0.770131318
20210912,-0.519021899
20210913,-0.622794913
20210914,-1.333119395
20210915,-1.533759969
20210916,-2.163406308
20210917,-1.237414336
20210918,-1.070334875
20210919,-1.033756262
20210920,-2.024353791
20210921,-3.134896909
20210922,-1.951771787
20210923,-2.275973103
20210924,-2.344267311
20210925,-1.426181177
20210926,0.043058077
20210927,2.78494072
20210928,-0.512406226
20210929,-1.168908724
20210930,-0.20191327
20211001,-0.577250156
20211002,-2.307022503
20211003,-3.317025742
20211004,-0.566180732
20211005,-0.931553851
20211006,-2.901449645
20211007,-1.614208522
20211008,-2.027445446
20211009,-3.351211411
20211010,-3.328872699
20211011,-2.290507198
20211012,-2.345370384
20211013,-4.387316982
20211014,-3.2851715
20211015,-3.671714281
20211016,-1.850966442
20211017,-2.092829659
20211018,-3.945203446
